iter	Passed	Remaining
418	2581	3579
419	2586	3572
420	2592	3564
421	2597	3557
422	2603	3551
423	2609	3544
424	2614	3537
425	2620	3530
426	2626	3524
427	2631	3517
428	2637	3510
429	2642	3503
430	2649	3497
431	2655	3491
432	2660	3484
433	2666	3477
434	2672	3471
435	2678	3465
436	2684	3458
437	2690	3451
438	2696	3445
439	2701	3438
440	2707	3431
441	2713	3425
442	2719	3418
443	2727	3415
444	2733	3409
445	2739	3403
446	2746	3397
447	2752	3391
448	2757	3384
449	2764	3378
450	2769	3371
451	2775	3364
452	2780	3357
453	2786	3350
454	2792	3344
455	2798	3338
456	2804	3331
457	2810	3325
458	2815	3318
459	2821	3312
460	2827	3305
461	2833	3299
462	2839	3293
463	2845	3286
464	2850	3279
465	2856	3273
466	2862	3267
467	2868	3260
468	2874	3254
469	2880	3248
470	2886	3241
471	2893	3236
472	2899	3230
473	2905	3224
474	2910	3217
475	2917	3211
476	2923	3204
477	2928	3197
478	2933	3190
479	2938	3183
480	2945	3177
481	2950	3170
482	2955	3163
483	2961	3157
484	2967	3151
485	2973	3144
486	2979	3138
487	2985	3132
488	2993	3127
489	2999	3121
490	3005	3115
491	3011	3109
492	3017	3103
493	3023	3096
494	3028	3089
495	3034	3083
496	3040	3076
497	3046	3070
498	3051	3063
499	3057	3057
500	3063	3051
501	3069	3044
502	3074	3038
503	3081	3032
504	3087	3025
505	3093	3020
506	3099	3013
507	3105	3007
508	3111	3001
509	3117	2995
510	3123	2988
511	3129	2982
512	3135	2976
513	3140	2969
514	3146	2963
515	3152	2956
516	3157	2950
517	3163	2943
518	3168	2936
519	3175	2931
520	3181	2924
521	3186	2918
522	3193	2912
523	3199	2906
524	3205	2899
525	3210	2893
526	3215	2886
527	3224	2882
528	3230	2876
529	3237	2870
530	3243	2864
531	3249	2858
532	3255	2852
533	3265	2849
534	3279	2850
535	3285	2843
536	3290	2837
537	3296	2830
538	3302	2824
539	3308	2818
540	3314	2811
541	3319	2805
542	3325	2798
543	3330	2792
544	3336	2785
545	3342	2779
546	3349	2774
547	3355	2768
548	3361	2761
549	3367	2755
550	3373	2749
551	3379	2742
