iter	RMSE
206	0.3893003576
207	0.3890767238
208	0.3889010018
209	0.3888049893
210	0.3885805092
211	0.3884071623
212	0.3882534718
213	0.3879681453
214	0.3878076067
215	0.3875677757
216	0.387383591
217	0.3871706061
218	0.386974555
219	0.3867732527
220	0.3865568292
221	0.3863348196
222	0.3861689356
223	0.3859828969
224	0.385709854
225	0.3854546736
226	0.3852900042
227	0.3850566529
228	0.3848988325
229	0.3847178215
230	0.3845248532
231	0.384398385
232	0.3842859968
233	0.384049306
234	0.3838398531
235	0.3836320381
236	0.3834627646
237	0.3833201292
238	0.3831925429
239	0.3829791345
240	0.3827865094
241	0.3826036085
242	0.3824514167
243	0.3822613356
244	0.3821668015
245	0.3819310433
246	0.381744576
247	0.3815297369
248	0.3813875483
249	0.3811820709
250	0.3810307582
251	0.380849383
252	0.3806788181
253	0.3805153877
254	0.3803799217
255	0.3802010799
256	0.3800579295
257	0.3799292014
258	0.3796967512
259	0.3795656744
260	0.3794016258
261	0.3791483233
262	0.3790168713
263	0.3788740121
264	0.3787256254
265	0.378539245
266	0.3783545486
267	0.3781252784
268	0.377950101
269	0.377777239
270	0.3775924122
271	0.3774627137
272	0.3773376721
273	0.3771643543
274	0.3769596777
275	0.3767876797
276	0.3765827819
277	0.3764718507
278	0.376251878
279	0.3760657678
280	0.3758920846
281	0.3756623113
282	0.3753888027
283	0.3752061693
284	0.3750329146
285	0.3748692658
286	0.3746404472
287	0.374452985
288	0.37423102
289	0.3740728872
290	0.3739243746
291	0.373750754
292	0.3735245427
293	0.373304379
294	0.3730690767
295	0.3728583258
296	0.3726054565
297	0.3724603307
298	0.3722878524
299	0.372163518
300	0.3720161827
301	0.3718786234
302	0.3716945279
303	0.3714730986
304	0.3713256888
305	0.3711634171
306	0.3709212855
307	0.3707113486
308	0.3705844294
309	0.3703972395
310	0.3702525285
311	0.3700965382
312	0.3699538414
313	0.3698239559
314	0.3696917466
315	0.3694396365
316	0.3692219851
317	0.3690924826
318	0.3688926993
319	0.3687615299
320	0.3685831564
321	0.3684285137
322	0.3682660519
323	0.3680563646
324	0.3679032426
325	0.3677523929
326	0.3676064738
327	0.3674533686
328	0.3672822696
329	0.3671231172
330	0.3669945424
331	0.3668016089
332	0.366654368
333	0.3664819985
334	0.3663493591
335	0.3661719592
336	0.36603476
337	0.3659109498
338	0.3657067785
339	0.3655431221
340	0.3653547647
341	0.3652146785
342	0.3650675715
343	0.3649740763
344	0.364850353
345	0.3647548634
346	0.3645650147
347	0.3644361585
348	0.3642451971
349	0.3641140374
350	0.3639120434
351	0.3638230917
352	0.3636751862
353	0.3634811282
354	0.3632915766
355	0.3631969736
356	0.3630257831
357	0.3628989405
358	0.3627409965
359	0.3626124791
360	0.3624280045
361	0.3623097244
362	0.3621673193
363	0.3619756464
364	0.3618508405
365	0.3617058039
366	0.3615619042
367	0.3613925276
368	0.3612533646
369	0.3610675666
370	0.3609168058
371	0.3608024312
372	0.360604776
373	0.3604736765
374	0.3603598381
375	0.3602513036
376	0.3600627451
377	0.359887108
378	0.359708959
379	0.3595939435
380	0.3593776939
381	0.359203841
382	0.3590003951
383	0.3587641346
384	0.3586497411
385	0.3585026938
386	0.3583605826
387	0.3582242188
388	0.3581041752
389	0.3579563753
390	0.3578369236
391	0.3576895296
392	0.3574660277
393	0.3573180669
394	0.357133373
395	0.356914992
396	0.3567092955
397	0.3565519497
398	0.3564353261
399	0.3562682657
400	0.3561170539
401	0.3559156903
402	0.3557809023
403	0.3556224697
404	0.3554727306
405	0.3553778612
406	0.3551895671
407	0.3550445534
408	0.3548956402
409	0.3547466913
410	0.354606273
411	0.3544716932
412	0.354363508
413	0.3542422602
414	0.3540636927
415	0.3538838546
416	0.3537209005
417	0.3535720539
418	0.3534159479
419	0.3532657875
420	0.353114895
421	0.352998544
422	0.3528615165
423	0.3527314266
424	0.352629676
425	0.3524878163
426	0.3523652125
427	0.3522570856
428	0.3520996372
429	0.3518858818
430	0.3517294291
431	0.3515350326
432	0.3513984595
433	0.3512436419
434	0.3510654488
435	0.3508894472
436	0.3507107084
437	0.3506033467
438	0.3504697937
439	0.3503692039
440	0.350252123
441	0.3500784184
442	0.3499716497
443	0.3498378914
444	0.3496746496
445	0.3495303723
446	0.3493738741
447	0.3491991499
448	0.3490994433
449	0.3489325823
450	0.3487813882
451	0.3486483995
452	0.3485069557
453	0.3483969581
454	0.3482613711
455	0.3481362995
456	0.3479388455
457	0.3477607741
458	0.3475541406
459	0.3474040431
460	0.3472917814
461	0.3471143778
462	0.3469289172
463	0.3467909336
464	0.3466783707
465	0.3464865666
466	0.3462996424
467	0.3461862854
468	0.346057053
469	0.3458805587
470	0.3457683166
471	0.3456405007
472	0.3454862244
473	0.3453310466
474	0.3452536036
475	0.3451266064
476	0.3449757189
477	0.3448759873
478	0.3447734596
479	0.3446813719
480	0.3444985086
481	0.3443975935
482	0.3442867446
483	0.3441487141
484	0.3440313754
485	0.3438207052
486	0.3436995792
487	0.3435366
488	0.3433990585
489	0.3432339692
490	0.3430938822
491	0.3429479846
492	0.3428155323
493	0.3427261067
494	0.3426471145
495	0.3424454956
496	0.3423150595
497	0.3421669667
498	0.3420743312
499	0.3419557502
500	0.341867947
501	0.3417262068
502	0.3416058237
503	0.3414590026
504	0.3412892015
505	0.3412162346
506	0.3411049123
507	0.3409708859
508	0.3408440299
509	0.3406990436
510	0.3405585398
511	0.3403880833
512	0.3402320622
513	0.340090583
514	0.33991918
515	0.3398221367
516	0.3397205715
517	0.3396449585
518	0.3395289828
519	0.3393952178
520	0.3392759468
521	0.3391762235
522	0.3390563058
523	0.3389075535
524	0.3387984152
525	0.3386930423
526	0.3386142882
527	0.3384277756
528	0.3383464219
529	0.3382169003
530	0.3381108297
531	0.3379648121
532	0.3378275804
533	0.3376759099
534	0.3374984614
535	0.3374169564
536	0.3373048372
537	0.3371949158
538	0.3370583493
539	0.3369466213
540	0.3368310662
541	0.3366957803
542	0.3365729124
543	0.3365097799
544	0.3363405244
545	0.3362747564
546	0.3361352167
547	0.3360148878
548	0.3358991859
549	0.3357742401
550	0.3356506144
551	0.3355275857
552	0.3354434984
553	0.3353204707
554	0.3351845391
555	0.3350395379
556	0.3349460698
557	0.3347992173
558	0.3346673037
559	0.3345338067
560	0.3344397586
561	0.3343178615
562	0.3341703663
563	0.334020172
564	0.3338586943
565	0.3337257334
566	0.3336158078
567	0.3335513512
568	0.3334645046
569	0.3333755208
570	0.3332830074
571	0.3331452187
572	0.3330553264
573	0.3328957985
574	0.3327719505
575	0.3326497798
576	0.3325531414
577	0.3324075044
578	0.3322654995
579	0.3321047701
580	0.3319713255
581	0.3318232067
582	0.3316464387
583	0.3314740775
584	0.3313430055
585	0.3312424658
586	0.3311172079
587	0.3310315671
588	0.3308987406
589	0.3307763345
590	0.330645091
591	0.3305566199
592	0.3304418114
593	0.3303264621
594	0.330194148
595	0.3300277128
596	0.3299013463
597	0.329769778
598	0.3296400105
599	0.3295366821
600	0.3294210105
601	0.3292603053
602	0.3291342933
603	0.3290369137
604	0.3288733445
605	0.3287795575
606	0.32869116
607	0.328523791
608	0.3284489692
609	0.3282644357
610	0.3281636261
611	0.328022833
612	0.3278769303
613	0.3277442245
614	0.3276254493
615	0.3274600134
616	0.3273424056
617	0.3272437946
618	0.3271673449
619	0.3271293759
620	0.3269876029
621	0.3268779637
622	0.3267436104
623	0.3266350378
624	0.3264414319
625	0.3263114893
626	0.3262162
627	0.3261037304
628	0.3259872983
629	0.3258692136
630	0.3257608489
631	0.3257093708
632	0.3255738982
633	0.3254651114
634	0.3253599439
635	0.3251894185
636	0.3250891444
637	0.3249797777
638	0.3248465118
639	0.3247247362
640	0.324631259
641	0.3245198564
642	0.3244382977
643	0.3243231121
644	0.3242247605
645	0.3240840201
646	0.3240238911
647	0.323911156
648	0.3238346149
649	0.323761568
650	0.3236309196
651	0.3235050801
652	0.3233922819
653	0.3232393931
654	0.3231412508
655	0.3230542149
656	0.3229102578
657	0.3227893105
658	0.3226829298
659	0.3225621212
660	0.3224622107
661	0.3223512745
662	0.3222150532
663	0.3220779448
664	0.3219246508
665	0.3217779075
666	0.3216412573
667	0.3215330198
668	0.3214182744
669	0.321343706
670	0.3212424941
671	0.3211470427
672	0.321022066
673	0.3208624827
674	0.3207492129
675	0.3206302462
676	0.3204807828
677	0.3203615056
678	0.3202530753
679	0.3201479224
680	0.320033166
681	0.3199022366
682	0.3197916616
683	0.319688235
684	0.3195238505
685	0.3194378401
686	0.3193160211
687	0.319228336
688	0.3190722294
689	0.3189241844
690	0.3187861538
691	0.3186920614
692	0.3185203453
693	0.3183997261
694	0.3182855875
695	0.3181999415
696	0.3180843352
697	0.3179230505
698	0.3178145242
699	0.3177253156
700	0.317604739
701	0.3174557506
702	0.3173534757
703	0.3172642018
704	0.3171596664
705	0.3170249666
706	0.3169663573
707	0.3168651023
708	0.3167243683
709	0.3166138122
710	0.3164982278
711	0.3163660153
712	0.3162783123
713	0.3162186076
714	0.3160880123
715	0.3159377123
716	0.3157866296
717	0.315651711
718	0.3154987692
719	0.3154023131
720	0.3153207445
721	0.315243224
722	0.3151628088
723	0.3149797579
724	0.3148458541
725	0.3147357756
726	0.3146453196
727	0.3145654507
728	0.3144799456
729	0.3143933512
730	0.3142264095
731	0.3141021367
732	0.3140295371
733	0.3139189405
734	0.313811235
735	0.3136394642
736	0.3135455944
737	0.3133987015
738	0.3132415751
739	0.3131598865
740	0.3130625453
741	0.3129209717
742	0.3128408194
743	0.312737769
744	0.3126069147
745	0.3125078947
746	0.3123711291
747	0.3122607489
748	0.3121729302
749	0.3121108746
750	0.312008178
751	0.3119361088
752	0.3117933407
753	0.3116865939
754	0.3115354838
755	0.311449795
756	0.3113585105
757	0.3112216079
758	0.3110279319
759	0.3109253503
760	0.3107320142
761	0.3106849886
762	0.3106090819
763	0.3105157808
764	0.3103812886
765	0.3102617931
766	0.3101614057
767	0.3100628729
768	0.3099299036
769	0.3098614088
770	0.3097913948
771	0.3096915879
772	0.3095850033
773	0.309508365
774	0.3094158205
775	0.3093309227
776	0.309208014
777	0.3091313136
778	0.3090412616
779	0.3089339311
780	0.3088658324
781	0.3087292797
782	0.3086031049
783	0.3084296413
784	0.3083360912
785	0.3082528271
786	0.3080928741
787	0.3079408972
788	0.3078112984
789	0.3076992399
790	0.3076173371
791	0.3074904286
792	0.3073531624
793	0.3072560423
794	0.3071341146
795	0.3070295996
796	0.3069472878
797	0.3068596225
798	0.3067665497
799	0.3066519238
800	0.3065431854
801	0.3064365704
802	0.3063062769
803	0.3061747851
804	0.3060259099
805	0.3058692248
806	0.3057258118
807	0.3056600805
808	0.305556011
809	0.3054531664
810	0.3053759725
811	0.3052189389
812	0.3051080123
813	0.3049731185
814	0.3048379494
815	0.3047933011
816	0.3047026818
817	0.3046196844
818	0.3045105404
819	0.3043950238
820	0.3042131892
821	0.3040674441
822	0.3039552745
823	0.3038117368
824	0.3037232957
825	0.3035389602
826	0.3034534223
827	0.303334747
828	0.3032074578
829	0.3031304153
830	0.3030514961
831	0.3029682002
832	0.3028530852
833	0.3027027336
834	0.3025621624
835	0.3024390597
836	0.3023241354
837	0.3021932729
838	0.3021051461
839	0.3020288079
840	0.30184957
841	0.3017286464
842	0.3016420883
843	0.3015450366
844	0.3013654453
845	0.301212102
846	0.301112646
847	0.3009976409
848	0.3009150052
849	0.3008587319
850	0.3007470367
851	0.3006816765
852	0.3005646088
853	0.3004607073
854	0.3003769449
855	0.3002641589
856	0.3001501857
857	0.3000411205
858	0.2999097559
859	0.2997752218
860	0.2996832056
861	0.2995564579
862	0.299433378
863	0.299330433
864	0.2991610563
865	0.2990652257
866	0.2989346486
867	0.2987771155
868	0.2987035174
869	0.2985927879
870	0.298553474
871	0.2984519411
872	0.2983858815
873	0.2982845991
874	0.2982232044
875	0.2981398365
876	0.2980103602
877	0.2978952897
878	0.2978453662
879	0.2977513993
880	0.2977122479
881	0.2976140778
882	0.2975236662
883	0.2973842566
884	0.2972866492
885	0.2971546107
886	0.2970365961
887	0.2968996318
888	0.2967812806
889	0.2967025429
890	0.2965956505
891	0.2965534739
892	0.2964745614
893	0.2964310593
894	0.2962895193
895	0.296214953
896	0.2961364956
897	0.2960460695
898	0.2959491575
899	0.2958982964
900	0.2957760163
901	0.2957143755
902	0.2956174592
903	0.2955190355
904	0.2954093367
905	0.2953184099
906	0.2952406736
907	0.2951859938
908	0.2950874907
909	0.2950133223
910	0.2949347013
911	0.2948023766
912	0.2946811335
913	0.2945626773
914	0.2944826447
915	0.2943699787
916	0.2942413018
917	0.2941589749
918	0.2940965342
919	0.2940039412
920	0.2938680407
921	0.2937406851
922	0.2936278259
923	0.2935582582
924	0.2934912138
925	0.2934070925
926	0.2933389098
927	0.2932134212
928	0.2930996846
929	0.2929486472
930	0.292856485
931	0.2927436606
932	0.2926262763
933	0.2925254826
934	0.2924329225
935	0.2923534336
936	0.2922354537
937	0.2921356148
938	0.292030898
939	0.2919219315
940	0.2918208966
941	0.2917261407
942	0.2916164318
943	0.29149853
944	0.2914319701
945	0.2913194845
946	0.2911956994
947	0.2910969136
948	0.2909916598
949	0.2908770555
950	0.2907930795
951	0.2907395974
952	0.2906214234
953	0.2905714349
954	0.290514134
955	0.290405812
956	0.2903046107
957	0.2902280279
958	0.2900953697
959	0.2900021926
960	0.289914342
961	0.2898195727
962	0.289729964
963	0.2896597015
964	0.2895719529
965	0.2894499127
966	0.2893525266
967	0.2892730528
968	0.2891784498
969	0.289085531
970	0.2889524952
971	0.2888914496
972	0.2887682398
973	0.2886579713
974	0.2885510884
975	0.2884695275
976	0.2883970503
977	0.2882950168
978	0.2882269151
979	0.2881223762
980	0.287992256
981	0.2879110867
982	0.2878344099
983	0.2877283153
984	0.2876533286
985	0.287609196
986	0.2875151831
987	0.2873818099
988	0.2872956698
989	0.2871794937
990	0.2870749256
991	0.2869550643
992	0.2868265498
993	0.2867755486
994	0.2866791503
995	0.2865549465
996	0.2864802299
997	0.2863934605
998	0.2863116725
999	0.2862544069
